id,question,answer,source,evidence_anchor
001,What is the technical term for a cat hairball?,Bezoar,cat.txt,Bezoar
002,What is a group of cats called?,A clowder,cat.txt,A clowder
003,On average what fraction of the day do cats spend sleeping?,Two thirds,cat.txt,Two thirds
004,How long has a nine year old cat been awake if it sleeps two thirds of the time?,About three years,cat.txt,2/3
005,Do cats have a sweet tooth like dogs?,No,cat.txt,Do
006,What do scientists believe causes cats to not have a sweet tooth?,A mutation in a key taste receptor,cat.txt,A mutation in a key taste receptor
007,When a cat chases prey how does it hold its head?,It keeps its head level,cat.txt,It keeps its head level
008,Compared with cats what do dogs and humans do when chasing or running?,They bob their heads up and down,cat.txt,They bob their heads up and down
009,About how many different sounds do cats make?,About 100,cat.txt,About 100
010,About how many different sounds do dogs make?,About 10,cat.txt,About 10
011,Cats brains are biologically more similar to whose brains than to dogs?,Humans,cat.txt,Humans
012,What part of the brain do humans and cats share identically according to the text?,Regions responsible for emotions,cat.txt,Regions responsible for emotions
013,Approximately how many domestic cats are there in the world?,More than 500 million,cat.txt,More than 500 million
014,Approximately how many recognized cat breeds are mentioned?,About 40,cat.txt,About 40
015,Where was the oldest known pet cat found?,A 9500 year old grave on Cyprus,cat.txt,A 9500 year old grave on Cyprus
016,How much earlier does the Cyprus grave predate early Egyptian cat art?,About 4000 years or more,cat.txt,About 4000 years or more
017,Which Pope condemned cats as evil during the Spanish Inquisition?,Pope Innocent VIII,cat.txt,Pope Innocent VIII
018,What unintended effect did killing many cats have during the Spanish Inquisition?,Rat population exploded,cat.txt,Rat population exploded
019,What major disease effects were worsened by the rat population explosion?,The Black Death effects,cat.txt,The Black Death effects
020,On St Johns Day in the Middle Ages what did people do with cats in parts of Europe?,Stuffed them in sacks and tossed them into bonfires,cat.txt,Stuffed them in sacks and tossed them into bonfires
021,What other Middle Ages practice is mentioned on holy days regarding cats?,Tossing cats from church towers,cat.txt,Tossing cats from church towers
022,How many cats are there in North America compared to dogs?,73 million cats vs 63 million dogs,cat.txt,73 million cats vs 63 million dogs
023,Over what percentage of North American households own a cat?,Over 30 percent,cat.txt,Over 30 percent
024,What was the first cat in space named?,Felicette,cat.txt,Felicette
025,What nickname is given for Felicette?,Astrocat,cat.txt,Astrocat
026,In what year did France blast Felicette into space?,1963,cat.txt,1963
027,What did implanted electrodes in Felicettes brain send back to Earth?,Neurological signals,cat.txt,Neurological signals
028,Did Felicette survive the trip?,Yes,cat.txt,Felicette
029,What Latin word meaning domestic cat is referenced as a root for cat related words?,Catus,cat.txt,Catus
030,What Latin word meaning wild cat is contrasted with catus?,Feles,cat.txt,Feles
031,Approximately how many people are bitten by cats annually in the US?,About 40000,cat.txt,About 40000
032,In Hebrew legend what did God make the lion do to create a cat?,Sneeze,cat.txt,Sneeze
033,In the legend why did Noah pray to God?,To protect stored food from rats,cat.txt,To protect stored food from rats
034,Is a cats hearing better than a dogs according to the text?,Yes,cat.txt,Is
035,How many octaves higher than humans can cats hear high frequency sounds?,Up to two octaves higher,cat.txt,Up to two octaves higher
036,What top speed can a cat reach over a short distance?,About 31 mph,cat.txt,About 31 mph
037,What is that top speed in km per hour?,About 49 km per hour,cat.txt,About 49 km per hour
038,How high can a cat jump relative to its own height in a single bound?,Up to five times its height,cat.txt,Up to five times its height
039,What record cat survived the longest non fatal fall?,Andy,cat.txt,Andy
040,From what floor did Andy fall?,16th floor,cat.txt,16th floor
041,About how high was Andys fall?,About 200 feet,cat.txt,About 200 feet
042,What is the richest cat named in the text?,Blackie,cat.txt,Blackie
043,How much money was Blackie left?,15 million pounds,cat.txt,15 million pounds
044,Who left Blackie the money?,Ben Rea,cat.txt,Ben Rea
045,How many toes do cats have on each front paw?,Five,cat.txt,Five
046,How many toes do cats have on each back paw?,Four,cat.txt,Four
047,What is the term for cats born with extra toes?,Polydactyl,cat.txt,Polydactyl
048,Do extra toes in polydactyl cats harm the cat according to the text?,No,cat.txt,Do
049,What should you do with a polydactyl cats claws?,Keep them trimmed,cat.txt,Keep them trimmed
050,What is the inner eyelid of a cat called?,Nictitating membrane,cat.txt,Nictitating membrane
051,What does the nictitating membrane help protect the eyes from?,Dryness and damage,cat.txt,Dryness and damage
052,When might the inner eyelid be visible to an observer?,When the cat is ill,cat.txt,When the cat is ill
053,Can a cat see directly under its nose?,No,cat.txt,Can
054,Why can a cat miss tidbits on the floor directly under it?,It cannot see under its nose,cat.txt,It cannot see under its nose
055,What eye sign indicates a frightened or excited cat?,Large round pupils,cat.txt,Large round pupils
056,What eye sign indicates an angry cat?,Narrow pupils,cat.txt,Narrow pupils
057,Is pupil size related only to light levels?,No it also relates to emotions,cat.txt,No it also relates to emotions
058,Can cats see blue green and red according to recent studies?,Yes,cat.txt,Can
059,What disability is common in white cats with blue eyes?,Deafness,cat.txt,Deafness
060,If a white cat has only one blue eye where is it likely deaf?,In the ear closest to the blue eye,cat.txt,In the ear closest to the blue eye
061,Do white cats with orange eyes have the same deafness issue?,No,cat.txt,Do
062,Why are white cats with white ears at higher risk outdoors?,They are prone to sunburn,cat.txt,They are prone to sunburn
063,Frequent sunburns in white cats can lead to what?,Skin cancer,cat.txt,Skin cancer
064,What prevention measures are suggested for sunburn prone cats?,Sunscreen or keeping indoors,cat.txt,Sunscreen or keeping indoors
065,How high can a cat jump relative to its height in another statement?,Even seven times as high as it is tall,cat.txt,Even seven times as high as it is tall
066,What absorbs shock when a cat lands from a jump?,Footpads,cat.txt,Footpads
067,What bone do cats lack that helps them squeeze through openings?,A true collarbone,cat.txt,A true collarbone
068,What rule of thumb is given for how small an opening a cat can fit through?,Any space its head can fit through,cat.txt,Any space its head can fit through
069,If left to her own devices how many kittens may a female cat have every four months?,Three to seven,cat.txt,Three to seven
070,How long is a cats pregnancy?,About 58 to 65 days,cat.txt,About 58 to 65 days
071,Who teaches kittens to use the litter box?,Mother cats,cat.txt,Mother cats
