id,question,anchor_used,hit_rank,top1_preview,error
001,What is the technical term for a cat hairball?,Bezoar,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
002,What is a group of cats called?,A clowder,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
003,On average what fraction of the day do cats spend sleeping?,Two thirds,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
004,How long has a nine year old cat been awake if it sleeps two thirds of the time?,2/3,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
005,Do cats have a sweet tooth like dogs?,Do,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
006,What do scientists believe causes cats to not have a sweet tooth?,A mutation in a key taste receptor,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
007,When a cat chases prey how does it hold its head?,It keeps its head level,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
008,Compared with cats what do dogs and humans do when chasing or running?,They bob their heads up and down,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
009,About how many different sounds do cats make?,About 100,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
010,About how many different sounds do dogs make?,About 10,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
011,Cats brains are biologically more similar to whose brains than to dogs?,Humans,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
012,What part of the brain do humans and cats share identically according to the text?,Regions responsible for emotions,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
013,Approximately how many domestic cats are there in the world?,More than 500 million,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
014,Approximately how many recognized cat breeds are mentioned?,About 40,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
015,Where was the oldest known pet cat found?,A 9500 year old grave on Cyprus,,o the cat can land on its feet. Even cats without a tail have this ability. A cat rubs against people not only to be affectionate but also to mark out its territory with scent glan,
016,How much earlier does the Cyprus grave predate early Egyptian cat art?,About 4000 years or more,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
017,Which Pope condemned cats as evil during the Spanish Inquisition?,Pope Innocent VIII,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
018,What unintended effect did killing many cats have during the Spanish Inquisition?,Rat population exploded,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
019,What major disease effects were worsened by the rat population explosion?,The Black Death effects,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
020,On St Johns Day in the Middle Ages what did people do with cats in parts of Europe?,Stuffed them in sacks and tossed them into bonfires,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
021,What other Middle Ages practice is mentioned on holy days regarding cats?,Tossing cats from church towers,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
022,How many cats are there in North America compared to dogs?,73 million cats vs 63 million dogs,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
023,Over what percentage of North American households own a cat?,Over 30 percent,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
024,What was the first cat in space named?,Felicette,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
025,What nickname is given for Felicette?,Astrocat,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
026,In what year did France blast Felicette into space?,1963,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
027,What did implanted electrodes in Felicettes brain send back to Earth?,Neurological signals,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
028,Did Felicette survive the trip?,Felicette,2,“I am still considering which of the three strategies would be most beneficial to us. Selling for $50.00 and trying to maximize revenues—or selling for $30.00 and trying to maximiz,
029,What Latin word meaning domestic cat is referenced as a root for cat related words?,Catus,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
030,What Latin word meaning wild cat is contrasted with catus?,Feles,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
031,Approximately how many people are bitten by cats annually in the US?,About 40000,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
032,In Hebrew legend what did God make the lion do to create a cat?,Sneeze,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
033,In the legend why did Noah pray to God?,To protect stored food from rats,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
034,Is a cats hearing better than a dogs according to the text?,Is,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
035,How many octaves higher than humans can cats hear high frequency sounds?,Up to two octaves higher,1,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
036,What top speed can a cat reach over a short distance?,About 31 mph,,"On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life. Unlike dogs, cats do not have a sweet tooth. Scien",
