"id,question,answer,source"
001,What is the technical term for a cat hairball?,Bezoar,cat.txt"
002,What is a group of cats called?,A clowder,cat.txt"
003,On average what fraction of the day do cats spend sleeping?,Two thirds,cat.txt"
004,How long has a nine year old cat been awake if it sleeps two thirds of the time?,About three years,cat.txt"
005,Do cats have a sweet tooth like dogs?,No,cat.txt"
006,What do scientists believe causes cats to not have a sweet tooth?,A mutation in a key taste receptor,cat.txt"
007,When a cat chases prey how does it hold its head?,It keeps its head level,cat.txt"
008,Compared with cats what do dogs and humans do when chasing or running?,They bob their heads up and down,cat.txt"
009,About how many different sounds do cats make?,About 100,cat.txt"
010,About how many different sounds do dogs make?,About 10,cat.txt"
011,Cats brains are biologically more similar to whose brains than to dogs?,Humans,cat.txt"
012,What part of the brain do humans and cats share identically according to the text?,Regions responsible for emotions,cat.txt"
013,Approximately how many domestic cats are there in the world?,More than 500 million,cat.txt"
014,Approximately how many recognized cat breeds are mentioned?,About 40,cat.txt"
015,Where was the oldest known pet cat found?,A 9500 year old grave on Cyprus,cat.txt"
016,How much earlier does the Cyprus grave predate early Egyptian cat art?,About 4000 years or more,cat.txt"
017,Which Pope condemned cats as evil during the Spanish Inquisition?,Pope Innocent VIII,cat.txt"
018,What unintended effect did killing many cats have during the Spanish Inquisition?,Rat population exploded,cat.txt"
019,What major disease effects were worsened by the rat population explosion?,The Black Death effects,cat.txt"
020,On St Johns Day in the Middle Ages what did people do with cats in parts of Europe?,Stuffed them in sacks and tossed them into bonfires,cat.txt"
021,What other Middle Ages practice is mentioned on holy days regarding cats?,Tossing cats from church towers,cat.txt"
022,How many cats are there in North America compared to dogs?,73 million cats vs 63 million dogs,cat.txt"
023,Over what percentage of North American households own a cat?,Over 30 percent,cat.txt"
024,What was the first cat in space named?,Felicette,cat.txt"
025,What nickname is given for Felicette?,Astrocat,cat.txt"
026,In what year did France blast Felicette into space?,1963,cat.txt"
027,What did implanted electrodes in Felicettes brain send back to Earth?,Neurological signals,cat.txt"
028,Did Felicette survive the trip?,Yes,cat.txt"
